Laptop Name,Laptop Price,Laptop Sold
"HP ORIGINAL USA IMPORT | Chromebook 11 G4 | 8 to 10 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | WINDOWS 10 INSTALLED | Dual Core | ChromeBook","9,499",N/A
Acer C731 Chromebook Laptop - 4GB RAM - 16GB ROM - Playstore Supported - 11.6 inch Display - Long Battery Life,"15,500",N/A
Lenovo Chromebook 11.6″ display approximately 4 GB RAM 16 GB ROM – With Play Store - PUBG Supported,"9,999",5 sold
"HP EliteBook 840 G3 Ultra Book, Intel Core i5 6th generation Laptop, With 8GB DDR4 Ram, 256GB SSD, 14.1""inch Led Display, Intel HD Graphics","64,999",N/A
Daraz Like New Laptops - HP Elitebook 840 G3 - Ci7 6th generation - 10/10 Condition - 8GB RAM - 256GB SSD - Used Product - HP Laptops - Elitebook Series - Ultra Slim,"62,000",N/A
Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"12,500",30 sold
"HP EliteBook 840 G1 Notebook PC Intel Core i5 4th Gen, 8GB DDR3 Ram, 500GB Hard Drive, 14.1"" Intel HD Display, Intel HD Graphics","39,000",N/A
"Optiplex 7450 All-In-One System - Core I5 7th Generation - 2GB GDDR5 Graphics Card - Ram 16GB DDR4 - 512GB NVME M2 SSD - WIFI, WEBCAM - Black - Non-Genuine Base","79,999",5 sold
HP 15S-FD0110TU Core i7-1355U 16GB DDR4 512GB PCIe Value Intel Iris Xe 15.6 FHD Antiglare slim IPS 250 nits Narrow Border Windows 11 Home Natural Silver (1 Year Warranty),"236,499",N/A
Fujitsu T726 Core i7-6th Generation 8Gb Ram 500Gb Hard Drive,"50,000",N/A
"CTL Chromebook PX11EG | 4GB RAM DDR4 | 32 GB eMMC | 11.6"" Display size","90,000",41 sold
"Dell Latitude 7480 14 ""Business Laptop (14"" HD Display, i5-7300U 7th Generation, 8GB DDR4, 256GB SSD, Windows 10 Pro","59,999",N/A
HP Chromebook 11 G4 | 16GB Storage | 4GB RAM | 11.6″ Display | Playstore Supported | Dual Core | Chrome Book,"14,999",N/A
Lenovo Thinkpad X230 Core i5 3rd Gen 8GB RAM 500GB 12.5″ Screen Windows 10 (Free Laptop Bag) - Daraz like new laptops,"25,499",42 sold
HP Elitebook 8470P - Core i5 3rd Gen - 2.6Ghz - 4GB RAM - 320GB HDD - 14 inch Screen - Certified Refurbished - Used Laptops,"34,500",N/A
"DeII CORE I5-8th GENERATION | 16GB RAM , 256GB SSD HARD DRIVE | 2K DISPLAY | 4HOURS+ BATTERY BACKUP | FREE LAPTOP BAG","68,000",7 sold
"H.P Z240 SFF [CORE I7 6TH GEN, 8GB DDR4 RAM, 128GB SSD, 500 GB HDD, 2GB GAMING GRAPHIC CARD ]","44,900",N/A
HP ProBook 640 G1 - Ci5 4th Generation - 8GB RAM - 128GB SSD - Windows 10 - Refurbished Laptop - Business Laptop - Student Laptop,"43,500",N/A
"Dell Chromebook 3180 11.6 inches HD screen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - (FREE LAPTOP BAG) - Daraz like new laptops","10,499",8 sold
Paper Feel Screen Protector Film Matte PET Painting Write For iPad Pro 11 7/8/9th 10.2 Air 4 5 10.9 10th Gen 10.5 9.7 Mini 4 5 6,"4,144",N/A
"DE!! OPTPLEX 7040 MT I7 6Th, 8GB DDR4 RAM, 128GB SSD, 500 GB HDD, 2GB GAMING GRAPHIC CARD","54,900",10 sold
"LENOVO M 710 S, CORE I3 7TH, 16GB RAM, 128 GB SSD, 500 GB HDD, 4GB GRAPHIC CARD","33,900",29 sold
"DELL Latitude E6430 i5-3320M Notebook 35.6 cm (14"") HD+ Intel® Core™ i5 4 GB DDR3-SDRAM 320 GB HDD NVIDIA® NVS™ 5200M Windows 7 Professional Black, Silver","26,999",6 sold
"Daraz Like New Laptops Apple MacBook Air A1466 Early 2015 With 1.6GHz Intel Core i5 (13.3 inch, 8GB RAM, 128GB) Silver","64,999",8 sold
Dell Latitude 12 5285 2-in-1 Laptop - Core i5 7th Generation - 12.3 inch FHD TouchScreen - RAM 8GB LPDDR3 1866MHz - 256GB NVME SSD - Windows 10 Professional (Renewed),"52,999",N/A
"FUJITSU ESPRIME [ CORE I3 7th, 8 GB DDR4 RAM, 120 GB SSD, 500 GB HDD, 2 GB GAMING CARD ]","24,500",66 sold
Apple MacBook Air MLY33 (Mid Night) – M2 Chip 8-core CPU 8GB 256GB SSD 13.6,"365,000",6 sold
"Like New Laptops HP ZBook 15 G2 Mobile Workstation Intel Core i7 - 4810MQ X4 2.8GHz 8GB 256GB SSD 15.6"" Win10, Black","80,000",N/A
"Dell Core i7-8th Generation | 16GB RAM , 512GB SSD Hard | 2K HD Display | 6Hours+ Battery Backup | FREE LAPTOP BAG","85,000",31 sold
"DELL E7270 Intel Core i7-6th Generation | 8GB Ram , 256GB M2 SSD | 3Hours+ Battery Backup | One Month Warranty | FREE LAPTOP BAG | Charger Included","50,856",140 sold
_DELL Core i5-5th Generation | 8GB RAM 128GB SSD[Hard Drive] | 4hours+ Battery Backup |Latitude E7250,"48,000",N/A
"Like New Laptops HP ProBook X360 11 G2 2-in-1 11.6 Inch Touchscreen, Intel Core M3 7th Gen 4GB RAM, 128GB SSD, Windows 10 Pro","40,000",N/A
_Dell Core i3-6th Generation | 8GB RAM 128GB SSD[Hard Drive]| 3 Hours+ Battery Backup|3380,"52,000",5 sold
"De!! Precision TOWER 3620 , CORE i5 7th , CORE I7 6th, CORE I7 7th, 8GB DDR4 RAM, 128GB SSD, 500GB HDD, 2GB GRAPHIC CARD","44,900",7 sold
"LENOVO M 710 S, CORE I3 7TH, 8GB RAM, 128 GB SSD, 500 GB HDD, 2GB GRAPHIC CARD","25,500",31 sold
Apple MacBook Pro A1278 - 16GB RAM 256GB SSD - 2.5GHz Dual-Core Intel Core i5 - Mid 2012 13.3-inch LED Display - Dual Operating System MacOS Catalina 10.15 - Silver -,"47,999",N/A
"DELL Intel Core i5-10th Generation | 16GB DDR4 RAM , 256GB M2 SSD , 2Hours+ Battery Backup | Charger Included","105,000",9 sold
"Lenovo IdeaPad Slim 3 Intel Core i3-1305U Turbo up to 3.3GHz 8GB Soldered LPDDR5-4800 256GB SSD M.2 2242 PCIe NVMe 15.6"" FHD TN 250nits Anti glare DOS Arctic Grey (2 Year Warranty)","119,000",11 sold
"HP 255 G4 ""15.6 inch"" LED - AMD A6 - 6310 processor 1.8 GHz - 8 GB DDR3 SDRAM - 256 GB SSD - Windows 10 Pro 64-bit (English) - AMD Radeon R4 Graphics - Black Colour","54,999",N/A
"DE!! OPTPLEX 3050 MT I3 7Th, 8GB DDR4 RAM, 128GB SSD, 500 GB HDD, 2GB GAMING GRAPHIC CARD","29,900",6 sold
DELL CHROMEBOOK LAPTOP 3120 P22T - RAM 4GB/ ROM 16GB - Longer Battery Life,"11,850",N/A
HP ProBook 640 G2 - Ci5 6th Generation - 8GB RAM - 256GB SSD - Windows 10 - HP Laptop - Business Laptop - Student Laptop,"49,500",N/A
"Lenovo ThinkPad T480s 14"" FHD Business Laptop (Intel 8th Gen Quad-Core i5-8250U, 8GB DDR4 RAM, 256GB PCIe NVMe M.2 SSD) Type-C, WiFi, Windows 10 Pro","72,999",N/A
Fujitsu T935 Core i5-5th Generation 8GB Ram 500gb Hard Drive,"48,000",N/A
"OPTIPLEX 7010 [ CORE I5 3rd , 8GB RAM, 120GB SSD, 500GB HDD, 2GB GAMING CARD ]","23,800",24 sold
HP Compaq Elite 8300 - 23Inches All-In-One System - Core i5 3rd Generation - 8GB DDR3 RAM - 250GB HDD - WEBCAM - Black (Renewed),"36,500",38 sold
Dell Latitude 7240 - Ci5 4th generation - 12 inch Display - 10/10 Condition - 8GB RAM - 128GB SSD - Used Laptop - Best Programming Students and Business Students,"42,000",N/A
"Like New Laptops Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Play Store, Chrome OS","23,999",N/A
"HP Victus 16-D0023DX Gaming Laptop 11th Gen Core i5-11400H, 16GB DDR4, 512GB SSD, NVIDIA RTX3050 4GB, 16.1"" FHD IPS, Windows 11 Home","189,000",N/A
"Lenovo ThinkPad X1 Yoga | Intel Core i5 - 7200U 2.5 Ghz | 14 2-in-1 Convertible Laptop | 8GB RAM | 256 GB PCIe M.2 SSD, FHD 1080p | Thunderbolt 3 USB-C | Webcam | Windows 10 Pro","69,999",N/A
"Macbook Pro 13 inch Screen Protector For A1278 (Mid 2009, Mid 2010, Early 2011, Late 2011, Mid 2012) Release",676,26 sold
"FUJITSU ESPRIME [ CORE I3 6th, 8 GB DDR4 RAM, 120 GB SSD, 500 GB HDD, 2 GB GAMING CARD ]","22,500",9 sold
"Apple MacBook Pro 2011 A1278 Display 13-inch Laptop (Intel i5 2.5 GHz, 8 GB RAM, 500GB HDD, Intel HD, macOS High Sierra - Silver","41,999",N/A
ThinkPad X380 Yoga 2-in-1 Laptop | 13.3in FHD (1920x1080) Touchscreen | Intel Core i5-8350U | 8GB DDR4 | 256GB SSD | Windows 10 Pro,"69,999",N/A
"V15 G3 Intel Core i5-1235U 8GB Soldered DDR4 512SSD Integrated Intel Iris Xe Graphics functions as UHD Graphics|15.6"" FHD (1920x1080) TN 250nits Anti-glare,|High Definition (HD) Audi|5.5 hr |Black|Dos","165,999",10 sold
Screen Protector for MacBook HD Soft Film for Air 13 inch M1 M2 Pro 11 13 14 15 16 inch Touch bar Max Cover Guard Accessories,"4,178",N/A
